"Name of Item";"price";"old Price";"link of Item";"sizes";"max Quantity";"rating";" parameters"
"LEE RIDER MĘSKIE SPODNIE JEANSOWE SLIM RURKI";"189.99 zł";"329.99 zł";"https://allegro.pl/oferta/lee-rider-meskie-spodnie-jeansowe-slim-rurki-8644455909";"30/32;30/34;31/34;36/34;38/32;38/34;40/34;42/34";"99";"4.50(2 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Waga (z opakowaniem):0.8 kg; Płeć:Produkt męski; Marka:Lee; Rozmiar:40/34; Kolor:niebieski; Fason:zwężane; Długość nogawki:długa; Zapięcie:zamek; Materiał dominujący:bawełna; Skład materiałowy:Bawełna; Wzór dominujący:bez wzoru; Cechy dodatkowe:brak; Liczba kieszeni:5; Model:Lee Rider 34/30 32/32 34/32 36/32 daren greensboro; Kolekcja:L701JJSI; Nazwa koloru producenta:MID WASHED wrangler; :"
"MĘSKI KOMPLET DRESOWY ROZPINANY ax0138 - XL";"69.99 zł";"99.99 zł";"https://allegro.pl/oferta/meski-komplet-dresowy-rozpinany-ax0138-xl-8763378941";"M;L;XL;XXL";"53";"4.68(44 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Kolor:czarny; Wzór dominujący:bez wzoru; Rękaw:długi rękaw; Rodzaj spodni:prosta nogawka; Długość nogawki:długa; Materiał dominujący:bawełna; Rodzaj:rozpinane z kapturem; "
"CZARNA SKÓRZANA KURTKA MĘSKA tx3247 - XL";"199.99 zł";"289.99 zł";"https://allegro.pl/oferta/czarna-skorzana-kurtka-meska-tx3247-xl-8978530686";"S;M;L;XL;XXL;3XL";"41";"4.80(54 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Kolor:czarny; Rodzaj:inny; Kaptur:bez kaptura; Długość:do bioder; Wypełnienie:nie dotyczy; Wzór dominujący:bez wzoru; Materiał dominujący:skóra ekologiczna; Zapięcie:zamek; Cechy dodatkowe:z podszewką; :"
"K01 r. L MĘSKIE SPODNIE DRESOWE JOGGERY GŁADKIE";"40.00 zł";"59.00 zł";"https://allegro.pl/oferta/k01-r-l-meskie-spodnie-dresowe-joggery-gladkie-9811613134";"M;L;XL;XXL";"8564";"no";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:L; Kolor:zielony; Wzór dominujący:bez wzoru; Długość nogawki:długa; Materiał dominujący:bawełna; Cechy dodatkowe:brak; Zapięcie:brak; Liczba kieszeni:2; :"
"SPODNIE DRESOWE JOGGERY JASNOSZARE ux1296 - XXL";"27.99 zł";"59.99 zł";"https://allegro.pl/oferta/spodnie-dresowe-joggery-jasnoszare-ux1296-xxl-8121534741";"M;L;XL;XXL";"1533";"4.65(180 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XXL; Kolor:szary; Wzór dominujący:bez wzoru; Długość nogawki:długa; Materiał dominujący:bawełna; Cechy dodatkowe:brak; Zapięcie:wiązanie; :"
"BLUZA MĘSKA Z NADRUKIEM bx4529-XL";"39.99 zł";"59.99 zł";"https://allegro.pl/oferta/bluza-meska-z-nadrukiem-bx4529-xl-9335850210";"M;L;XL;XXL";"80";"5.00(3 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Kolor:szary; Wzór dominujący:print (nadruk); Dekolt:okrągły; Rękaw:długi rękaw; Zapięcie:brak; Materiał dominujący:bawełna; Rodzaj:bez kaptura wkładane przez głowę; "
"XL - KURTKA PRZEJŚCIOWA MĘSKA KL3249";"89.99 zł";"120.00 zł";"https://allegro.pl/oferta/xl-kurtka-przejsciowa-meska-kl3249-9583503436";"M;L;XL;XXL";"61";"4.63(8 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Rodzaj:wiatrówka; Kaptur:bez kaptura; Długość:do bioder; Wypełnienie:syntetyczne; Wzór dominujący:bez wzoru; Materiał dominujący:poliester; Zapięcie:zamek; Długość całkowita:76 cm; Długość rękawa:80 cm; Szerokość pod pachami:58 cm; Kolor:czarny granatowy szary inny kolor; Cechy dodatkowe:ocieplenie przeciwdeszczowa z podszewką; "
"K01g r. XL MĘSKIE SPODNIE DRESOWE JOGGERY GŁADKIE";"28.00 zł";"45.00 zł";"https://allegro.pl/oferta/k01g-r-xl-meskie-spodnie-dresowe-joggery-gladkie-7909576681";"M;L;XL;XXL";"4775";"4.63(1083 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Kolor:szary; Wzór dominujący:bez wzoru; Długość nogawki:długa; Materiał dominujący:bawełna; Cechy dodatkowe:brak; Zapięcie:brak; Liczba kieszeni:2; :"
"PŁASZCZ KLASYCZNY JESIENNO-ZIMOWY cx0399 - L";"179.99 zł";"259.99 zł";"https://allegro.pl/oferta/plaszcz-klasyczny-jesienno-zimowy-cx0399-l-9725452225";"M;L;XL;XXL";"173";"no";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:L; Kolor:czarny; Rodzaj:klasyczny; Długość:do bioder; Wypełnienie:nie dotyczy; Wzór dominujący:bez wzoru; Materiał dominujący:poliester; Zapięcie:guziki; Cechy dodatkowe:z podszewką; :"
"SPODNIE DRESOWE JOGGERY CZARNE XW01-A DENLEY_M";"34.99 zł";"59.99 zł";"https://allegro.pl/oferta/spodnie-dresowe-joggery-czarne-xw01-a-denley-m-9042962112";"M;L;XL;XXL";"722";"4.69(65 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:Denley; Rozmiar:M; Kolor:czarny; Wzór dominujący:bez wzoru; Długość nogawki:długa; Materiał dominujący:bawełna; Cechy dodatkowe:brak; Zapięcie:wiązanie; :"
"SPODNIE DRESOWE JOGGERY MĘSKIE MORO KOLORY";"34.94 zł";"40.00 zł";"https://allegro.pl/oferta/spodnie-dresowe-joggery-meskie-moro-kolory-9528913343";"M;L;XL;XXL;3XL";"14";"5.00(6 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Marka:inna; Rozmiar:M; Kolor:czarny; Wzór dominujący:moro; Długość nogawki:długa; Materiał dominujący:bawełna; Cechy dodatkowe:brak; :"
"MĘSKA PIKOWANA KURTKA ZIMOWA tx3467 - L";"129.99 zł";"199.99 zł";"https://allegro.pl/oferta/meska-pikowana-kurtka-zimowa-tx3467-l-9684399107";"S;M;L;XL;XXL";"107";"no";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:L; Kolor:czarny; Rodzaj:inny; Kaptur:z kapturem; Długość:do bioder; Wypełnienie:syntetyczne; Wzór dominujący:bez wzoru; Materiał dominujący:nylon; Zapięcie:zamek; Cechy dodatkowe:ocieplenie pikowanie z odpinanym kapturem z podszewką; "
"LEE DAREN ZAMEK MĘSKIE SPODNIE JEANSOWE PROSTE";"189.99 zł";"329.99 zł";"https://allegro.pl/oferta/lee-daren-zamek-meskie-spodnie-jeansowe-proste-8644350594";"28/32;29/32;30/34;31/34";"9";"5.00(2 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Waga (z opakowaniem):0.8 kg; Płeć:Produkt męski; Marka:Lee; Rozmiar:30/34; Fason:proste; Długość nogawki:długa; Zapięcie:zamek; Materiał dominujący:bawełna; Skład materiałowy:Bawełna; Wzór dominujący:bez wzoru; Cechy dodatkowe:brak; Liczba kieszeni:5; Model:Lee Daren Zip Fly 34/30 32/32 34/32 36/32 M L; Kolekcja:L707YBPO; Nazwa koloru producenta:BLUE ASH wrangler; Kolor:czarny szary; "
"SPODNIE JEANSOWE BOJÓWKI CZARNE HY686 DENLEY_2XL";"89.90 zł";"169.99 zł";"https://allegro.pl/oferta/spodnie-jeansowe-bojowki-czarne-hy686-denley-2xl-9616168942";"M;L;XL;XXL";"149";"5.00(3 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:Denley; Rozmiar:XXL; Kolor:czarny; Fason:baggy/joggery; Długość nogawki:długa; Zapięcie:wiązanie; Materiał dominujący:bawełna; Wzór dominujący:bez wzoru; Cechy dodatkowe:obniżony krok; :"
"BLUZA MĘSKA OCIEPLANA Z KAPTUREM ox483-XL";"59.00 zł";"99.99 zł";"https://allegro.pl/oferta/bluza-meska-ocieplana-z-kapturem-ox483-xl-8695818067";"M;L;XL;XXL";"110";"4.27(11 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Wzór dominujący:bez wzoru; Dekolt:stójka; Rękaw:długi rękaw; Zapięcie:zamek; Materiał dominujący:poliester; Kolor:czarny szary; Rodzaj:rozpinane z kapturem; "
"PŁASZCZ MĘSKI DWURZĘDOWY CZARNY cx0392 - XL";"129.99 zł";"199.99 zł";"https://allegro.pl/oferta/plaszcz-meski-dwurzedowy-czarny-cx0392-xl-8443748843";"M;L;XL;XXL";"471";"4.09(53 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Kolor:czarny; Rodzaj:klasyczny; Długość:do połowy uda; Wypełnienie:nie dotyczy; Wzór dominujący:bez wzoru; Materiał dominujący:poliester; Zapięcie:guziki; Cechy dodatkowe:z podszewką; :"
"MĘSKI BEZRĘKAWNIK KAMIZELKA PODGRZEWANA USB L";"139.99 zł";"299.00 zł";"https://allegro.pl/oferta/meski-bezrekawnik-kamizelka-podgrzewana-usb-l-9760196248";"M;L;XL;XXL;3XL;4XL";"986";"no";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Marka:inna; Rozmiar:L; Rodzaj:inny; Kaptur:bez kaptura; Długość:do pasa; Wypełnienie:nie dotyczy; Wzór dominujący:bez wzoru; Materiał dominujący:inny; Zapięcie:zamek; Cechy dodatkowe:brak; Kolor:czarny czerwony granatowy; "
"KURTKA SKÓRZANA BOMBERKA CZARNA HK05 DENLEY_3XL";"129.99 zł";"199.90 zł";"https://allegro.pl/oferta/kurtka-skorzana-bomberka-czarna-hk05-denley-3xl-9616415238";"M;L;XL;XXL;3XL";"92";"5.00(1 ocena produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:Denley; Rozmiar:3XL; Kolor:czarny; Rodzaj:bomber; Kaptur:bez kaptura; Długość:do bioder; Wypełnienie:nie dotyczy; Wzór dominujący:bez wzoru; Materiał dominujący:skóra ekologiczna; Zapięcie:zamek; Cechy dodatkowe:z podszewką; :"
"MĘSKIE SPODNIE DRESOWE ADIDAS DRESY SPORTOWE";"119.00 zł";"169.00 zł";"https://allegro.pl/oferta/meskie-spodnie-dresowe-adidas-dresy-sportowe-8570469626";"without";"2";"4.55(379 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Waga (z opakowaniem):0.2 kg; Płeć:Produkt męski; Marka:adidas; Rozmiar:M; Kolor:czarny; Wzór dominujący:bez wzoru; Długość nogawki:długa; Materiał dominujący:poliester; Skład materiałowy:100% poliester; Cechy dodatkowe:zamki; Zapięcie:brak; Liczba kieszeni:2; Model:D95924; Kolekcja:adidas Performance; Nazwa koloru producenta:czarny; Wysokość pasa:4 cm; :"
"4F BLUZA MĘSKA POLAR Z KAPTUREM H4-PLM002";"109.00 zł";"129.99 zł";"https://allegro.pl/oferta/4f-bluza-meska-polar-z-kapturem-h4-plm002-9141855709";"S;M;L;XL;XXL;3XL";"89";"4.93(14 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:4F; Rozmiar:L; Kolor:czarny; Wzór dominujący:bez wzoru; Dekolt:okrągły; Rękaw:długi rękaw; Materiał dominujący:poliester; Skład materiałowy:100% poliester; Model:PLM002; Kolekcja:Wiosna Lato 2020; Nazwa koloru producenta:głęboka czerń; Rodzaj:rozpinane z kapturem; "
"KURTKA MĘSKA PRZEJŚCIOWA CZARNA KS2149 DENLEY_L";"59.99 zł";"69.90 zł";"https://allegro.pl/oferta/kurtka-meska-przejsciowa-czarna-ks2149-denley-l-9498762260";"M;L;XL;XXL";"19";"5.00(2 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Marka:Denley; Rozmiar:L; Kolor:czarny; Rodzaj:inny; Kaptur:z kapturem; Długość:do bioder; Wypełnienie:nie dotyczy; Wzór dominujący:bez wzoru; Materiał dominujący:poliester; Zapięcie:zamek; Cechy dodatkowe:pikowanie z podszewką; "
"BEZRĘKAWNIK MĘSKI PIKOWANY CZARNY B2901 DENLEY_3XL";"99.90 zł";"179.99 zł";"https://allegro.pl/oferta/bezrekawnik-meski-pikowany-czarny-b2901-denley-3xl-9498847358";"M;L;XL;XXL;3XL";"250";"no";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:Denley; Rozmiar:3XL; Kolor:czarny; Wzór dominujący:bez wzoru; Materiał dominujący:nylon; Zapięcie:zamek; :"
"KURTKA MĘSKA PRZEJŚCIOWA PIKOWANA tx2735-XL";"69.99 zł";"119.99 zł";"https://allegro.pl/oferta/kurtka-meska-przejsciowa-pikowana-tx2735-xl-9032207264";"M;L;XL;XXL";"78";"4.67(3 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Kolor:czerwony; Rodzaj:inny; Kaptur:z kapturem; Długość:do bioder; Wypełnienie:syntetyczne; Wzór dominujący:bez wzoru; Materiał dominujący:bawełna; Zapięcie:zamek; Cechy dodatkowe:pikowanie z podszewką; "
"KR01 roz. XL KURTKA MĘSKA BOMBER JACKET PIKOWANA";"49.00 zł";"65.00 zł";"https://allegro.pl/oferta/kr01-roz-xl-kurtka-meska-bomber-jacket-pikowana-9726111000";"M;L;XL;XXL";"5";"no";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Kolor:czarny; Rodzaj:bomber; Kaptur:bez kaptura; Długość:do bioder; Wypełnienie:syntetyczne; Wzór dominujący:bez wzoru; Materiał dominujący:poliester; Zapięcie:zamek; Liczba kieszeni:4; Cechy dodatkowe:ocieplenie pikowanie z podszewką; "
"DE Sweter PULOWER 'Troyer' Marynarski 100%BAWEŁNA";"26.99 zł";"179.00 zł";"https://allegro.pl/oferta/de-sweter-pulower-troyer-marynarski-100-bawelna-9330838133";"M;L;XL";"355";"4.75(12 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Marka:inna; Rozmiar:L; Kolor:niebieski; Rodzaj:wkładane przez głowę; Wzór dominujący:bez wzoru; Dekolt:inny; Zapięcie:zamek; Materiał dominujący:bawełna; Model:DMAX Troyer; :"
"L - SWETER MĘSKI FREKANS";"29.99 zł";"49.00 zł";"https://allegro.pl/oferta/l-sweter-meski-frekans-9728617519";"S;M;L";"33";"3.50(2 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:L; Wzór dominujący:bez wzoru; Dekolt:serek/dekolt V; Zapięcie:brak; Materiał dominujący:poliester; Długość całkowita:71 cm; Długość rękawa:76 cm; Szerokość pod pachami:61 cm; Kolor:czarny inny kolor; Rodzaj:bez kaptura wkładane przez głowę; "
"MĘSKIE SPODNIE JOGGERY BOJÓWKI L 8 kolorów";"62.99 zł";"69.99 zł";"https://allegro.pl/oferta/meskie-spodnie-joggery-bojowki-l-8-kolorow-9539404538";"L";"11";"4.25(4 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Marka:inna; Rozmiar:L; Wzór dominujący:bez wzoru; Fason:bojówki; Długość nogawki:długa; Zapięcie:wiązanie; Materiał dominujący:inny; Cechy dodatkowe:brak; Kolor:beżowy niebieski szary; "
"WRANGLER BRYSON MĘSKIE SPODNIE JEANSOWE SLIM RURKI";"189.99 zł";"329.99 zł";"https://allegro.pl/oferta/wrangler-bryson-meskie-spodnie-jeansowe-slim-rurki-8775810469";"27/32;28/32;28/34;29/32;29/34;30/32;30/34;31/34";"7";"no";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Waga (z opakowaniem):0.8 kg; Płeć:Produkt męski; Marka:Wrangler; Rozmiar:28/34; Kolor:niebieski; Fason:zwężane; Długość nogawki:długa; Zapięcie:zamek; Materiał dominujący:bawełna; Skład materiałowy:Bawełna; Wzór dominujący:bez wzoru; Cechy dodatkowe:brak; Liczba kieszeni:5; Model:Wrangler spencer 34/30 32/32 34/32 36/32 M Lee; Kolekcja:W14X-HR-32E; Nazwa koloru producenta:MID ROCKS; :"
"5098 roz XXL MĘSKIE SPODNIE DRESOWE JOGGERY KOLORY";"25.00 zł";"69.00 zł";"https://allegro.pl/oferta/5098-roz-xxl-meskie-spodnie-dresowe-joggery-kolory-8903898785";"XXL";"24";"4.65(20 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XXL; Wzór dominujący:bez wzoru; Długość nogawki:długa; Materiał dominujący:bawełna; Cechy dodatkowe:brak; Zapięcie:brak; Liczba kieszeni:2; Kolor:czarny niebieski szary; "
"M - MĘSKIE SPODNIE DRESOWE W-80325";"19.99 zł";"29.00 zł";"https://allegro.pl/oferta/m-meskie-spodnie-dresowe-w-80325-8846075651";"M;L;XL;XXL;3XL";"138";"4.74(19 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:M; Wzór dominujący:bez wzoru; Długość nogawki:długa; Materiał dominujący:poliester; Cechy dodatkowe:brak; Zapięcie:wiązanie; Szerokość w pasie:32 cm; Długość nogawki od kroku:71 cm; Długość nogawki zewnętrzna:100 cm; Kolor:szary inny kolor; "
"TY801 roz. L OCIEPLANA BLUZA / KURTKA Z KAPTUREM";"49.00 zł";"69.00 zł";"https://allegro.pl/oferta/ty801-roz-l-ocieplana-bluza-kurtka-z-kapturem-9730233838";"M;L;XL;XXL";"143";"5.00(2 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:L; Kolor:zielony; Wzór dominujący:bez wzoru; Dekolt:okrągły; Rękaw:długi rękaw; Zapięcie:zamek; Materiał dominujący:bawełna; Rodzaj:rozpinane z kapturem; "
"DRES MĘSKI UNDER ARMOUR BLUZA + SPODNIE 1357139";"219.00 zł";"299.99 zł";"https://allegro.pl/oferta/dres-meski-under-armour-bluza-spodnie-1357139-9687117830";"S;M;XXL";"2";"no";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:Under Armour; Rozmiar:M; Kolor:czarny; Wzór dominujący:bez wzoru; Rękaw:długi rękaw; Rodzaj spodni:zwężana nogawka; Długość nogawki:długa; Materiał dominujący:poliester; Model:dres sportowy komplet męski bluza spodnie; Kolekcja:miejska sportowa; Nazwa koloru producenta:treningowy do biegania na siłownię na rower; Rodzaj:bez kaptura rozpinane; "
"JOGGERY MĘSKIE SPODNIE BOJÓWKI XL";"69.99 zł";"99.00 zł";"https://allegro.pl/oferta/joggery-meskie-spodnie-bojowki-xl-9466728987";"XL";"22";"3.00(6 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Marka:inna; Rozmiar:XL; Wzór dominujący:bez wzoru; Fason:bojówki; Długość nogawki:długa; Zapięcie:wiązanie; Materiał dominujący:inny; Cechy dodatkowe:brak; Kolor:czarny czerwony zielony; "
"SPODNIE DRESOWE JOGGERY MĘSKIE MORO KOLORY";"34.94 zł";"40.00 zł";"https://allegro.pl/oferta/spodnie-dresowe-joggery-meskie-moro-kolory-9528940063";"M;L;XL;XXL;3XL";"33";"5.00(3 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Marka:inna; Rozmiar:M; Kolor:szary; Wzór dominujący:moro; Długość nogawki:długa; Materiał dominujący:bawełna; Cechy dodatkowe:brak; :"
"OMBRE PREMIUM Płaszcz męski C432 granatowy L";"219.00 zł";"279.00 zł";"https://allegro.pl/oferta/ombre-premium-plaszcz-meski-c432-granatowy-l-8541512720";"S;M;L;XL;XXL";"461";"5.00(2 oceny produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:Ombre; Rozmiar:L; Kolor:granatowy; Rodzaj:inny; Długość:do połowy uda; Wypełnienie:nie dotyczy; Wzór dominujący:bez wzoru; Materiał dominujący:poliester; Zapięcie:guziki; Długość całkowita:90 cm; Długość rękawa:65 cm; Szerokość pod pachami:56 cm; Szerokość w ramionach:43 cm; Kolekcja:Premium; Cechy dodatkowe:jednorzędowy klapy z podszewką; "
"MĘSKA PIKOWANA KURTKA PRZEJŚCIOWA tx3270-XL";"69.99 zł";"109.99 zł";"https://allegro.pl/oferta/meska-pikowana-kurtka-przejsciowa-tx3270-xl-9032209526";"M;L;XL;XXL";"158";"4.50(30 ocen produktu)";"Stan:Nowy; Faktura:Wystawiam fakturę VAT; Płeć:Produkt męski; Marka:inna; Rozmiar:XL; Kolor:granatowy; Rodzaj:inny; Kaptur:bez kaptura; Długość:do bioder; Wypełnienie:syntetyczne; Wzór dominujący:bez wzoru; Materiał dominujący:poliester; Zapięcie:zamek; Cechy dodatkowe:pikowanie z podszewką; "
