"Name of Item";"price";"old Price";"link of Item";"sizes";"max Quantity";"rating";" parameters"
"SFD MSM 90tab SIARKA ORGANICZNA KOLAGEN STAWY FLEX";"18.99 zł";"24.99 zł";"https://allegro.pl/oferta/sfd-msm-90tab-siarka-organiczna-kolagen-stawy-flex-9286087884";"without";"819";"4.88(131 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Nazwa:SFD MSM; "
"SFD MAG B6 FORTE 90TAB MAGNEZ WITAMINA B6";"12.99 zł";"18.99 zł";"https://allegro.pl/oferta/sfd-mag-b6-forte-90tab-magnez-witamina-b6-6653305927";"without";"4670";"4.86(1071 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:SFD; Przeznaczenie:dla kobiet dla kobiet w ciąży dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"OstroVit Melatonin 180 tabs MOCNY ZDROWY SEN";"9.90 zł";"19.90 zł";"https://allegro.pl/oferta/ostrovit-melatonin-180-tabs-mocny-zdrowy-sen-8481397009";"without";"100";"4.78(514 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Postać:tabletki; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców; "
"SFD MELATONINA 270 TAB MELATONIN MOCNY ZDROWY SEN";"11.99 zł";"24.99 zł";"https://allegro.pl/oferta/sfd-melatonina-270-tab-melatonin-mocny-zdrowy-sen-8770170569";"without";"1866";"4.84(716 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:SFD; Cechy dodatkowe:bez cukru bez laktozy bezpieczny dla kobiet w ciąży bezzapachowy; "
"witamina D3 krople WEGA NATURALNA 5000 JACOBS";"26.90 zł";"39.00 zł";"https://allegro.pl/oferta/witamina-d3-krople-wega-naturalna-5000-jacobs-5080074703";"without";"95692";"4.95(353 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Pojemność:20 ml; "
"SFD LUKRECJA + SELEN I CYNK 90 tab ODPORNOŚĆ";"14.99 zł";"22.99 zł";"https://allegro.pl/oferta/sfd-lukrecja-selen-i-cynk-90-tab-odpornosc-9416866660";"without";"1208";"4.92(37 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:inny producent; "
"Navigator Witamina D3 10000IU Lanoliny 365 softgel";"87.00 zł";"131.67 zł";"https://allegro.pl/oferta/navigator-witamina-d3-10000iu-lanoliny-365-softgel-8596849239";"without";"603";"4.99(104 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:365 szt.; Przeznaczenie:dla kobiet dla kobiet w ciąży dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"OstroVit Vitamin C 500 g Kwas L-askorbinowy WIT. C";"19.90 zł";"35.90 zł";"https://allegro.pl/oferta/ostrovit-vitamin-c-500-g-kwas-l-askorbinowy-wit-c-7724283557";"without";"100";"4.92(259 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:1 szt.; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców; "
"SFD COLLAGEN 400G MSM BOSWELLIA KOLAGEN WIT.D3 + C";"40.00 zł";"59.99 zł";"https://allegro.pl/oferta/sfd-collagen-400g-msm-boswellia-kolagen-wit-d3-c-9287152420";"without";"4174";"4.84(91 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Postać:proszek; "
"KFD ŻEŃ-SZEŃ KOREAŃSKI - PANAX GINSENG - 120 TABL.";"26.99 zł";"34.99 zł";"https://allegro.pl/oferta/kfd-zen-szen-koreanski-panax-ginseng-120-tabl-8531202536";"without";"96744";"4.88(490 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:KFD; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców; "
"SFD VITAMIN B-COMPLEX 90TAB WITAMINA B6 B12";"12.99 zł";"18.99 zł";"https://allegro.pl/oferta/sfd-vitamin-b-complex-90tab-witamina-b6-b12-6652486443";"without";"1636";"4.89(455 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:SFD; Przeznaczenie:dla kobiet dla kobiet w ciąży dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"WITAMINA K2 MK-7 100 MCG NATTO + D3 2000IU 120 TAB";"19.99 zł";"84.39 zł";"https://allegro.pl/oferta/witamina-k2-mk-7-100-mcg-natto-d3-2000iu-120-tab-6801489093";"without";"7814";"4.89(138 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:Progress Labs; Przeznaczenie:dla kobiet dla mężczyzn; "
"KFD RÓŻENIEC GÓRSKI (RHODIOLA ROSEA) -90 TABLETEK";"29.99 zł";"39.99 zł";"https://allegro.pl/oferta/kfd-rozeniec-gorski-rhodiola-rosea-90-tabletek-8546418320";"without";"97846";"4.88(3353 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:180 szt.; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezglutenowy wegetariański; "
"BIOTYNA + Krzem Twój Cel To Pieknę Włosy i Skóra";"48.60 zł";"92.00 zł";"https://allegro.pl/oferta/biotyna-krzem-twoj-cel-to-piekne-wlosy-i-skora-8076866488";"without";"6845";"4.88(6267 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:400 szt.; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezalkoholowy bezglutenowy chronić przed światłem wegański wegetariański; "
"SFD VITAMIN C 200tab WITAMINA C KWAS L-ASKORBINOWY";"29.99 zł";"37.99 zł";"https://allegro.pl/oferta/sfd-vitamin-c-200tab-witamina-c-kwas-l-askorbinowy-9416609846";"without";"6973";"4.79(33 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Producent:inny producent; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"Kolagen Koenzym Q10 210mg Kwas Hialuronowy 105mg";"87.60 zł";"128.60 zł";"https://allegro.pl/oferta/kolagen-koenzym-q10-210mg-kwas-hialuronowy-105mg-7981435835";"without";"98805";"4.90(228 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:90 szt.; Cechy dodatkowe:bez cukru bez laktozy bezglutenowy; "
"SFD ŻEŃ-SZEŃ+GUARANA 90TAB ENERGIA GINSENG MOC";"19.99 zł";"38.99 zł";"https://allegro.pl/oferta/sfd-zen-szen-guarana-90tab-energia-ginseng-moc-6653266004";"without";"1971";"4.84(614 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:SFD; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"WITAMINA B Complex B1 B2 B3 B5 B6 B7 B9 B12 120szt";"21.99 zł";"36.99 zł";"https://allegro.pl/oferta/witamina-b-complex-b1-b2-b3-b5-b6-b7-b9-b12-120szt-6538988461";"120 szt.";"95385";"4.90(990 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:Wish Pharmaceutical; Przeznaczenie:dla kobiet dla kobiet w ciąży dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"SLIM LINE Bardzo Mocny Spalacz Tłuszczu 90 kaps.";"20.99 zł";"28.52 zł";"https://allegro.pl/oferta/slim-line-bardzo-mocny-spalacz-tluszczu-90-kaps-8633669441";"without";"99047";"4.69(122 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Postać:tabletki; "
"OLIMP Ashwagandha 600mg 60kap ŻEŃ-SZEŃ INDYJSKI";"28.50 zł";"31.90 zł";"https://allegro.pl/oferta/olimp-ashwagandha-600mg-60kap-zen-szen-indyjski-6934425701";"without";"94579";"4.90(977 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Podstawowy składnik:ashwagandha; "
"OLIMP GOLD-VIT D3 2000 WITAMINA D 120tab RODZINNA";"22.50 zł";"35.33 zł";"https://allegro.pl/oferta/olimp-gold-vit-d3-2000-witamina-d-120tab-rodzinna-7825842204";"120 szt.";"9355";"4.97(66 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:120 szt.; "
"Acerola w proszku PROSZEK 250g NATURALNA Wit. C";"32.79 zł";"44.90 zł";"https://allegro.pl/oferta/acerola-w-proszku-proszek-250g-naturalna-wit-c-6760582589";"without";"95548";"4.86(323 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:1 szt.; "
"SFD DZIKA RÓŻA 1000 mg 120tab NATURALNA WITAMINA C";"19.99 zł";"29.99 zł";"https://allegro.pl/oferta/sfd-dzika-roza-1000-mg-120tab-naturalna-witamina-c-9580229517";"without";"1954";"5.00(11 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:SFD; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"BIOTYNA 4 x TAK od Twój Cel To - Włosy Paznokcie!";"48.60 zł";"89.60 zł";"https://allegro.pl/oferta/biotyna-4-x-tak-od-twoj-cel-to-wlosy-paznokcie-8948123995";"without";"9131";"4.88(6267 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:Twój Cel To; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezalkoholowy bezglutenowy chronić przed światłem wegański wegetariański; "
"KFD F-BURNER - SPALACZ TŁUSZCZU - 100 KAPSUŁEK";"62.99 zł";"74.99 zł";"https://allegro.pl/oferta/kfd-f-burner-spalacz-tluszczu-100-kapsulek-8531234463";"without";"98278";"4.83(322 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Producent:KFD; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy; "
"Witamina D3 10000 IU 365 tab";"75.33 zł";"83.70 zł";"https://allegro.pl/oferta/witamina-d3-10000-iu-365-tab-9838911113";"without";"49";"no";"Faktura:Wystawiam fakturę VAT; "
"OLIMP ODPORMAX 60kaps TRAN MAKSYMALNA ODPORNOŚĆ";"25.37 zł";"35.89 zł";"https://allegro.pl/oferta/olimp-odpormax-60kaps-tran-maksymalna-odpornosc-7234502648";"without";"8494";"4.93(290 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:60 szt.; "
"ECOMAX ASHWAGANDHA 9% WITANOLIDÓW 100 KAP ŻEŃ-SZEŃ";"24.90 zł";"57.00 zł";"https://allegro.pl/oferta/ecomax-ashwagandha-9-witanolidow-100-kap-zen-szen-8541546751";"without";"9777";"4.83(41 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Postać:kapsułki; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezalkoholowy bezglutenowy bezzapachowy; "
"OLIMP GOLD VIT D3+K2 30kaps WITAMINY NATURALNE";"27.90 zł";"32.00 zł";"https://allegro.pl/oferta/olimp-gold-vit-d3-k2-30kaps-witaminy-naturalne-8856689020";"without";"99121";"4.92(263 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Producent:Olimp Laboratories; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"OLIMP CHELA-MAG B6 FORTE 120kap MEGA MAGNEZ CHELAT";"54.00 zł";"77.80 zł";"https://allegro.pl/oferta/olimp-chela-mag-b6-forte-120kap-mega-magnez-chelat-7767335201";"without";"8325";"4.93(182 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:120 szt.; Przeznaczenie:dla kobiet dla kobiet w ciąży dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"ASHWAGANDHA 180caps ŻEŃ-SZEŃ INDYJSKI PAMIĘĆ STRES";"43.90 zł";"69.90 zł";"https://allegro.pl/oferta/ashwagandha-180caps-zen-szen-indyjski-pamiec-stres-9608989924";"without";"99925";"5.00(4 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Postać:kapsułki; Cechy dodatkowe:bez cukru bez jodu bezalkoholowy bezglutenowy czysty (bez dodatków) wegański wegetariański; "
"APETIBLOCK ZMNIEJSZA UCZUCIE GŁODU ODCHUDZANIE";"22.99 zł";"24.43 zł";"https://allegro.pl/oferta/apetiblock-zmniejsza-uczucie-glodu-odchudzanie-9774104443";"without";"99956";"4.47(57 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:50 szt.; "
"OstroVit MSM SIARKA ORGANICZNA ZDROWE STAWY KOŚCI";"13.90 zł";"29.90 zł";"https://allegro.pl/oferta/ostrovit-msm-siarka-organiczna-zdrowe-stawy-kosci-7725629217";"without";"100";"4.83(42 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:90 szt.; Cechy dodatkowe:bez cukru bez jodu bezalkoholowy bezzapachowy; "
"WITAMINA K2 MK-7 z natto 100mcg + D3 2000IU 120tab";"21.99 zł";"39.99 zł";"https://allegro.pl/oferta/witamina-k2-mk-7-z-natto-100mcg-d3-2000iu-120tab-5841665012";"120 szt.";"95913";"4.90(477 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:Wish Pharmaceutical; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"Preventic Edycja Specjalna 60 kapsułek";"5.99 zł";"16.98 zł";"https://allegro.pl/oferta/preventic-edycja-specjalna-60-kapsulek-9681726839";"without";"17";"4.94(109 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:60 szt.; "
"GARCINIA CAMBOGIA EKSTRAKT SPALACZ TŁUSZCZU 60 kap";"8.99 zł";"13.12 zł";"https://allegro.pl/oferta/garcinia-cambogia-ekstrakt-spalacz-tluszczu-60-kap-7389507243";"without";"1519";"4.62(185 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:Noble Health; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezalkoholowy bezglutenowy bezzapachowy czysty (bez dodatków); "
"ACTIVLAB WITAMINA C 1000mg 60k ODPORNOŚĆ KOLAGEN";"14.69 zł";"34.90 zł";"https://allegro.pl/oferta/activlab-witamina-c-1000mg-60k-odpornosc-kolagen-9099555433";"without";"99577";"4.94(33 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:60 szt.; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"Witamina C 1000mg Rutyna 100mg 90 dni Odporności";"23.60 zł";"34.60 zł";"https://allegro.pl/oferta/witamina-c-1000mg-rutyna-100mg-90-dni-odpornosci-8569121188";"without";"8990";"4.92(137 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:180 szt.; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezalkoholowy bezglutenowy czysty (bez dodatków) wegański wegetariański; "
"IRONFLEX COLLAGEN 90tab KOLAGEN NA STAWY MOCNY";"24.90 zł";"29.90 zł";"https://allegro.pl/oferta/ironflex-collagen-90tab-kolagen-na-stawy-mocny-9549980372";"90 szt.";"99591";"4.88(43 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:90 szt.; "
"2x SLIM FLOW 60cap SPALACZ TŁUSZCZU ODCHUDZANIE";"49.90 zł";"198.00 zł";"https://allegro.pl/oferta/2x-slim-flow-60cap-spalacz-tluszczu-odchudzanie-9370436481";"119 szt.;120 szt.";"98737";"4.50(121 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:120 szt.; "
"TABLETKI NA POTENCJĘ EREKCJĘ TESTOSTERON ZESTAW";"120.90 zł";"134.33 zł";"https://allegro.pl/oferta/tabletki-na-potencje-erekcje-testosteron-zestaw-9314448956";"without";"918";"4.51(166 ocen produktu)";"Faktura:Nie wystawiam faktury; Postać:tabletki; "
"Biovital Zdrowie plus 1000 ml";"32.59 zł";"49.99 zł";"https://allegro.pl/oferta/biovital-zdrowie-plus-1000-ml-9592561137";"without";"10";"4.90(778 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:1 szt.; "
"NATURALNA WITAMINA D3 FORTE 2000IU KROPLE 30ml/900";"35.99 zł";"71.99 zł";"https://allegro.pl/oferta/naturalna-witamina-d3-forte-2000iu-krople-30ml-900-7657062396";"without";"99022";"4.93(267 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Pojemność:30 ml; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezalkoholowy bezglutenowy czysty (bez dodatków); "
"MSM SIARKA ORGANICZNA 500mg 250tabletek KOLAGEN";"31.99 zł";"59.99 zł";"https://allegro.pl/oferta/msm-siarka-organiczna-500mg-250tabletek-kolagen-6690429337";"without";"97796";"4.90(346 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:Wish Pharmaceutical; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezalkoholowy bezglutenowy wegański wegetariański; "
"3x MISIE NA ZDROWE WŁOSY BIOTYNA NIACYNA MIEDŹ !!";"84.97 zł";"110.97 zł";"https://allegro.pl/oferta/3x-misie-na-zdrowe-wlosy-biotyna-niacyna-miedz-7389459655";"without";"2327";"4.87(687 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:Noble Health; Cechy dodatkowe:bez cukru bez kazeiny bez laktozy bezalkoholowy bezglutenowy; "
"ALLNUTRITION PROBIOTYK ULTIMATE 60 kap 16 SZCZEPÓW";"24.99 zł";"39.99 zł";"https://allegro.pl/oferta/allnutrition-probiotyk-ultimate-60-kap-16-szczepow-9787135552";"without";"5633";"5.00(2 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Producent:inny producent; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezalkoholowy bezglutenowy; "
"BŁONNIK WITALNY 1kg BABKA PŁESZNIK + JAJOWATA";"19.49 zł";"28.79 zł";"https://allegro.pl/oferta/blonnik-witalny-1kg-babka-plesznik-jajowata-7929235336";"without";"98792";"4.95(189 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Postać:proszek; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezalkoholowy czysty (bez dodatków); "
"PREVENTIC D3 OLEJ Z WĄTROBY REKINA WIT D CZOSNEK";"32.99 zł";"43.16 zł";"https://allegro.pl/oferta/preventic-d3-olej-z-watroby-rekina-wit-d-czosnek-9774095453";"without";"99954";"4.95(310 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Postać:kapsułki; "
"HA-PANTOTEN OPTIMUM BIOTYNA WITAMINY SELEN JOD 60k";"15.19 zł";"42.99 zł";"https://allegro.pl/oferta/ha-pantoten-optimum-biotyna-witaminy-selen-jod-60k-9507202414";"without";"1870";"4.94(17 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:inny producent; "
"IRONFLEX KWASY OMEGA 3 ULTRA 90caps EPA WITAMINA E";"23.90 zł";"29.00 zł";"https://allegro.pl/oferta/ironflex-kwasy-omega-3-ultra-90caps-epa-witamina-e-9548852702";"90 szt.;180 szt.";"99882";"5.00(11 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:90 szt.; "
"HAIR CARE PANDA TRAVEL PACK ŻELKI NA WŁOSY BIOTYNA";"20.99 zł";"40.00 zł";"https://allegro.pl/oferta/hair-care-panda-travel-pack-zelki-na-wlosy-biotyna-8966312447";"without";"9886";"4.71(52 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Producent:Noble Health; Cechy dodatkowe:bez jodu bez kazeiny bez laktozy bezalkoholowy bezglutenowy bezpieczny dla kobiet karmiących bezpieczny dla kobiet w ciąży wegański wegetariański; "
"ALLNUTRITION ADEK + OMEGA 3 STRONG 90 kap WITAMINY";"29.99 zł";"49.99 zł";"https://allegro.pl/oferta/allnutrition-adek-omega-3-strong-90-kap-witaminy-9701690237";"without";"7831";"5.00(3 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Producent:inny producent; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"IRONFLEX EKSTRAKT KORZEŃ MACA 60tab LIBIDO PAMIĘĆ";"18.99 zł";"29.00 zł";"https://allegro.pl/oferta/ironflex-ekstrakt-korzen-maca-60tab-libido-pamiec-9705155142";"60 szt.";"99958";"no";"Faktura:Wystawiam fakturę VAT; Postać:tabletki; "
"BIOTYNA NA WŁOSY 600% - CYK SELEN MIEDŹ KRZEM !!";"14.99 zł";"23.99 zł";"https://allegro.pl/oferta/biotyna-na-wlosy-600-cyk-selen-miedz-krzem-7451576686";"without";"2022";"4.82(283 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Producent:Noble Health; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezalkoholowy bezglutenowy wegański wegetariański; "
"Vitrum D3 1000 j.m. 120 kapsułek";"22.79 zł";"29.99 zł";"https://allegro.pl/oferta/vitrum-d3-1000-j-m-120-kapsulek-9860883669";"without";"15";"4.90(30 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:120 szt.; Cechy dodatkowe:chronić przed światłem czysty (bez dodatków); "
"OLIMP GOLD-VIT D3+K2 SPORT EDITION 60kaps WITAMINY";"40.50 zł";"49.90 zł";"https://allegro.pl/oferta/olimp-gold-vit-d3-k2-sport-edition-60kaps-witaminy-7836291739";"without";"8846";"4.96(163 oceny produktu)";"Faktura:Nie wystawiam faktury; Producent:Olimp Laboratories; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"2x BIOTYNA NA WŁOSY Piękne zdrowe lsiniące włosy !";"28.99 zł";"49.99 zł";"https://allegro.pl/oferta/2x-biotyna-na-wlosy-piekne-zdrowe-lsiniace-wlosy-7592792055";"without";"311";"4.84(444 oceny produktu)";"Faktura:Wystawiam fakturę VAT; Producent:Noble Health; Cechy dodatkowe:bez cukru bez jodu bez kazeiny bez laktozy bezalkoholowy bezglutenowy wegański wegetariański; "
"OMEGA 3 180k OLEJ ANCHOIS KWASY TŁUSZCZOWE EPA DHA";"43.90 zł";"69.90 zł";"https://allegro.pl/oferta/omega-3-180k-olej-anchois-kwasy-tluszczowe-epa-dha-9608927417";"without";"99920";"5.00(6 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Postać:kapsułki; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"TABLETKI NA POTENCJĘ EREKCJĘ TESTOSTERON BRAVERAN";"115.44 zł";"128.27 zł";"https://allegro.pl/oferta/tabletki-na-potencje-erekcje-testosteron-braveran-9521893413";"without";"935";"4.51(166 ocen produktu)";"Faktura:Nie wystawiam faktury; Postać:tabletki; "
"CYTRYNIAN MAGNEZU 100% MAGNEZ W PROSZKU 1000g VEGE";"55.58 zł";"69.00 zł";"https://allegro.pl/oferta/cytrynian-magnezu-100-magnez-w-proszku-1000g-vege-8331006235";"without";"99043";"4.82(395 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:1 szt.; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"WITAMINA C (Kwas L-askorbinowy) 1kg";"31.19 zł";"59.90 zł";"https://allegro.pl/oferta/witamina-c-kwas-l-askorbinowy-1kg-7038972729";"0.5 kg;1 kg;3 kg";"97513";"4.92(330 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Producent:inny producent; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
"IRONFLEX VITAMIN D 2000IU 90tabs WITAMINA D3 KOŚCI";"12.99 zł";"24.90 zł";"https://allegro.pl/oferta/ironflex-vitamin-d-2000iu-90tabs-witamina-d3-kosci-9549840982";"90 szt.";"99807";"4.95(21 ocen produktu)";"Faktura:Wystawiam fakturę VAT; Liczba sztuk:90 szt.; Przeznaczenie:dla kobiet dla mężczyzn dla seniorów dla sportowców uniwersalne; "
